	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_60004_1.txt	60004	1	155.94118	133.01024	149.56096	n/a	142.45656	147.57873	n/a	136.77108	136.97946	140.95849	149.63478	150.84608	146.22439	148.31428	150.55336	138.63395	n/a	147.40224	135.36024	148.87885	157.21496	146.75169	156.64521	147.05854	159.15089	136.1914	144.2164	n/a	130.61385	n/a
alpha_rarefaction_60004_2.txt	60004	2	156.61197	134.76266	150.12457	n/a	143.6	148.26173	n/a	137.39397	137.21115	139.65004	149.60711	150.24626	147.26935	147.42972	149.59943	139.13684	n/a	147.17516	135.43197	146.91252	157.41839	146.0231	157.50686	147.60649	159.87991	138.44702	142.77387	n/a	129.66606	n/a
alpha_rarefaction_60004_3.txt	60004	3	156.10215	133.8925	147.20589	n/a	144.53284	144.85675	n/a	136.47915	136.54705	139.34536	149.67761	151.42111	146.39134	146.50504	148.81949	137.82626	n/a	147.22081	134.79137	148.3624	156.92074	146.26331	156.72971	147.31025	158.52628	139.08132	143.05749	n/a	129.78435	n/a
alpha_rarefaction_60004_4.txt	60004	4	157.85539	133.38666	149.20346	n/a	143.50961	148.53619	n/a	137.21441	135.20796	139.29895	149.61825	150.38401	145.77646	147.04254	149.71123	138.98489	n/a	146.87238	136.72645	149.39404	157.39117	145.51525	156.26216	148.89126	160.65851	136.95283	142.09389	n/a	129.17157	n/a
alpha_rarefaction_60004_5.txt	60004	5	156.78549	131.44766	149.03391	n/a	142.32842	148.06316	n/a	135.42328	136.91548	141.76164	149.56217	151.38006	145.27604	147.19863	150.1622	138.88344	n/a	147.07129	136.17964	147.07079	158.41843	145.58962	157.34898	147.52005	158.65575	138.09441	142.17837	n/a	130.28599	n/a
alpha_rarefaction_60004_6.txt	60004	6	159.29142	134.84654	150.7172	n/a	143.24821	146.91336	n/a	138.37028	136.10743	140.44559	149.58675	150.30733	144.74387	148.18226	150.17776	138.76621	n/a	147.97436	133.84449	148.13877	157.55756	146.04566	157.95777	148.30599	159.49679	138.22552	142.53861	n/a	129.18525	n/a
alpha_rarefaction_60004_7.txt	60004	7	157.42893	132.2096	149.49085	n/a	143.91654	148.2422	n/a	136.19973	134.94327	138.61424	149.56145	151.85305	145.85319	147.06927	149.44756	138.79089	n/a	146.4639	135.23999	147.8565	157.73039	145.95528	156.39036	146.38288	158.60122	140.39617	142.84045	n/a	130.36835	n/a
alpha_rarefaction_60004_8.txt	60004	8	157.8201	133.93893	150.71158	n/a	143.81608	145.94828	n/a	136.59583	136.41894	138.68507	149.56945	150.42028	146.61531	146.78573	149.58458	138.75366	n/a	147.53718	135.13441	147.54894	157.79708	145.8228	155.14718	146.75867	159.16428	138.75816	144.49979	n/a	132.53812	n/a
alpha_rarefaction_60004_9.txt	60004	9	156.43705	133.71393	149.25301	n/a	142.04335	147.63885	n/a	135.5518	136.34924	139.83031	149.64866	148.08493	145.43905	146.86042	148.65684	138.25944	n/a	148.0017	136.02709	147.42555	157.19273	146.03988	157.12392	146.09654	159.41375	137.72839	143.89078	n/a	129.72677	n/a
alpha_rarefaction_70003_0.txt	70003	0	164.01891	136.70098	155.156	n/a	147.40855	153.49754	n/a	139.88272	141.82191	145.34528	n/a	157.13053	149.95801	153.39184	154.505	n/a	n/a	151.86176	141.98076	153.74681	163.96991	n/a	166.60116	150.5487	162.83954	142.31029	146.89689	n/a	134.64633	n/a
