	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_17005_8.txt	17005	8	112.22529	101.7843	106.81348	105.76817	107.2082	107.13115	97.81707	98.04127	103.95485	112.70691	109.2883	108.38408	104.50144	108.78916	106.08977	100.54813	109.86297	100.35285	109.98277	116.24209	110.74378	110.29183	105.02151	114.02636	101.96598	105.74161	110.67808	97.05072	96.75256
alpha_rarefaction_17005_9.txt	17005	9	111.87503	98.92412	109.91139	103.28968	104.82176	106.35628	101.65613	98.34328	99.28511	109.63222	109.89501	108.39808	107.02539	109.36731	104.70087	99.76534	108.24793	99.03363	110.18481	114.91492	105.6912	112.65798	108.7336	115.71802	105.13687	104.36903	112.3197	96.42998	97.99185
alpha_rarefaction_20404_0.txt	20404	0	119.14401	102.62967	114.90828	111.22933	109.28913	111.72523	108.4117	103.08415	108.77371	117.62549	113.92357	113.2413	112.68583	117.29578	107.85748	104.39645	114.5782	103.58532	114.37898	123.87535	114.71675	117.39765	115.38781	119.78637	109.02414	110.20165	113.95729	101.75155	102.63645
alpha_rarefaction_20404_1.txt	20404	1	118.19613	103.89843	114.39718	109.06277	110.30015	111.86965	104.85437	101.47909	107.64281	118.00916	117.30373	113.122	112.57653	116.77192	109.82008	105.48366	114.60833	104.19098	114.45769	121.15779	115.14983	117.486	109.96409	122.38148	109.01554	110.58448	113.98605	101.77045	103.73056
alpha_rarefaction_20404_2.txt	20404	2	118.3083	104.04897	112.44041	111.58023	111.4022	112.21414	106.59015	105.06854	106.44314	118.85055	117.33081	111.58269	110.97972	116.82747	110.02483	102.9284	113.68643	104.75467	113.86182	120.47245	115.10231	117.34539	113.95837	120.68323	107.70663	113.05418	114.14684	100.77719	102.34919
alpha_rarefaction_20404_3.txt	20404	3	119.57513	104.53498	112.41691	109.23218	109.50909	112.61967	107.08177	103.29074	109.52292	117.62614	113.21689	113.42135	111.33598	115.81498	108.02127	103.5212	114.95799	102.34049	112.76701	121.82225	114.76925	118.96428	111.79803	117.69561	107.13126	111.6789	113.89717	98.97447	102.25279
alpha_rarefaction_20404_4.txt	20404	4	117.96251	105.74661	112.37599	109.71263	112.22443	114.26224	105.18808	102.66585	110.30276	119.05478	113.52654	111.85303	113.00214	114.65148	110.15634	105.18267	115.16152	106.86324	112.69095	124.21513	115.06889	118.97355	117.13851	120.34215	108.66626	109.118	114.57783	99.98064	102.85131
alpha_rarefaction_20404_5.txt	20404	5	119.71845	103.40525	113.69392	109.34412	111.17075	110.69282	107.62546	103.77785	109.74836	117.89541	114.87268	112.27367	110.08879	114.43051	109.85877	103.36124	114.06651	104.47628	114.08403	120.50476	114.76921	121.28542	111.06778	121.74842	108.19481	109.84765	113.21847	101.26785	103.3927
alpha_rarefaction_20404_6.txt	20404	6	118.52321	104.29956	114.46268	109.36491	110.01001	112.33692	107.61428	104.73166	108.76359	118.76545	114.37741	113.80305	113.44754	117.41473	110.3028	102.3592	113.78136	104.97951	116.06387	122.03484	115.96132	119.3394	114.29258	118.96741	106.56873	108.5684	114.99826	101.79867	100.49255
alpha_rarefaction_20404_7.txt	20404	7	119.55244	104.90429	112.67616	108.73598	111.22305	112.96946	106.74377	105.05428	106.54281	118.40164	113.81122	114.92187	109.59686	113.32	108.0634	105.55954	115.90691	104.65266	115.45716	123.22065	115.54728	120.21964	112.71751	121.59151	107.50255	109.77641	113.07633	100.68593	102.47402
alpha_rarefaction_20404_8.txt	20404	8	118.04683	102.43424	115.55231	110.92233	111.85116	112.06003	104.38046	105.19304	107.44117	118.05844	113.7268	112.6665	115.15568	114.55253	109.35829	105.37855	114.98231	102.84178	114.62737	122.73856	113.56501	116.68767	112.29305	120.68469	108.25905	106.88274	115.04327	100.13909	101.57124
alpha_rarefaction_20404_9.txt	20404	9	120.05995	103.14738	114.15494	110.06019	111.70141	112.86112	108.15294	102.98818	107.00034	118.58017	116.05425	110.33346	109.36972	116.03284	110.71278	105.3919	115.47511	104.43002	111.5061	119.11329	115.04467	119.7025	111.57016	122.82653	106.09293	109.90799	115.96035	99.01957	102.63222
alpha_rarefaction_23803_0.txt	23803	0	122.48889	106.92825	121.70749	115.94943	114.64058	117.18684	109.21618	106.65467	115.20394	123.77441	119.14436	116.30375	116.53879	119.03971	111.90607	108.56156	120.72182	108.74085	119.34136	125.67777	120.3831	121.33554	119.55904	127.25533	113.08372	115.19313	117.45647	105.69422	106.33115
alpha_rarefaction_23803_1.txt	23803	1	123.92407	108.6111	118.35512	115.37732	115.52624	118.07774	109.11033	108.94732	112.67229	124.46003	118.71438	115.80576	118.64993	119.41935	112.97253	107.7366	118.68495	108.17851	117.51197	126.27007	120.77591	125.12448	119.37793	126.11643	112.59817	117.17247	117.33821	104.92387	107.53028
alpha_rarefaction_23803_2.txt	23803	2	121.68969	106.33252	117.91931	115.29314	114.81549	116.87269	110.93051	108.84365	112.75165	122.83214	121.26625	116.21329	113.68652	120.75224	113.77898	108.60197	119.00185	107.78488	120.922	126.0059	120.71049	123.72829	117.06386	126.89455	113.19063	114.04809	118.11261	105.06747	106.57709
alpha_rarefaction_23803_3.txt	23803	3	125.16132	106.88633	118.64346	114.39772	115.10156	118.52714	110.24709	109.33551	113.73539	122.57972	119.66895	115.58522	117.02911	118.94569	113.70482	108.73133	118.38474	109.74612	120.43158	125.81742	119.03644	125.3479	119.15534	127.79058	112.90769	112.46163	118.72421	106.22859	105.78315
alpha_rarefaction_23803_4.txt	23803	4	123.38441	107.34717	119.34085	115.40016	114.20389	117.53792	108.91383	108.08091	111.30763	123.01623	120.50388	116.64305	117.91899	119.01344	113.54075	109.69255	119.26269	108.80932	119.24741	126.74153	118.02587	123.37857	115.64702	125.44702	111.04699	113.39205	118.66889	106.56323	107.37061
alpha_rarefaction_23803_5.txt	23803	5	122.75303	108.14878	122.13369	115.61508	113.91091	114.76268	111.58823	107.82288	112.88492	122.24299	119.54007	118.39601	116.05148	120.93694	114.08222	109.44895	118.3437	111.03623	119.44925	126.53963	119.38405	123.95854	117.41613	128.88372	113.39547	112.71012	119.47915	104.55928	104.72028
alpha_rarefaction_23803_6.txt	23803	6	125.00953	108.27698	119.44313	116.09513	114.84725	115.58238	109.80222	107.53715	113.6694	123.20598	120.42344	116.85605	116.02507	119.65997	112.17979	106.73177	119.54624	107.96064	120.82192	126.24246	119.11236	123.47577	116.6552	128.34866	111.29597	113.30518	119.04596	102.33173	104.84935
