Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
-0.1302	-0.13123	515rcbc31	0.0	515rcbc13	0.0	None	None
-0.131135	-0.1312857	515rcbc29	0.0	515rcbc10	0.0	None	None
-0.131737	-0.13053	515rcbc37	0.0	515rcbc25	0.0	None	None
-0.131135	-0.131	515rcbc29	0.0	515rcbc8	0.0	None	None
-0.1307983	-0.1316	515rcbc18	0.0	515rcbc11	0.0	None	None
-0.1307983	-0.1312857	515rcbc18	0.0	515rcbc10	0.0	None	None
-0.1309	-0.13049	3257.22090136	189.592494085	515rcbc23	0.0	0.778210304848	1.0
-0.1307983	-0.131	515rcbc18	0.0	515rcbc8	0.0	None	None
-0.130722	-0.13122	515rcbc36	0.0	515rcbc9	0.0	None	None
-0.131737	-0.13123	515rcbc37	0.0	515rcbc13	0.0	None	None
-0.1300144	-0.1302	515rcbc32	0.0	515rcbc31	0.0	None	None
-0.131135	-0.130722	515rcbc29	0.0	515rcbc36	0.0	None	None
-0.1308888	-0.130816	515rcbc35	0.0	515rcbc34	0.0	None	None
-0.1308888	-0.13072	515rcbc35	0.0	515rcbc22	0.0	None	None
-0.1300144	-0.131	515rcbc32	0.0	515rcbc8	0.0	None	None
-0.131737	-0.130722	515rcbc37	0.0	515rcbc36	0.0	None	None
-0.1300144	-0.131086	515rcbc32	0.0	515rcbc17	0.0	None	None
-0.13072	-0.131737	515rcbc22	0.0	515rcbc37	0.0	None	None
-0.13122	-0.13123	515rcbc9	0.0	515rcbc13	0.0	None	None
-0.131737	-0.1303	515rcbc37	0.0	515rcbc33	0.0	None	None
-0.13049	-0.1312857	515rcbc23	0.0	515rcbc10	0.0	None	None
-0.1303	-0.1312857	515rcbc33	0.0	515rcbc10	0.0	None	None
-0.13133	-0.13122	515rcbc19	0.0	515rcbc9	0.0	None	None
-0.13133	-0.13064	515rcbc19	0.0	515rcbc16	0.0	None	None
-0.131737	-0.1310242	515rcbc37	0.0	515rcbc27	0.0	None	None
-0.1316	-0.1303	515rcbc11	0.0	515rcbc33	0.0	None	None
-0.1308888	-0.13053	515rcbc35	0.0	515rcbc25	0.0	None	None
-0.130816	-0.1302	515rcbc34	0.0	515rcbc31	0.0	None	None
